Security,Date,AveragePrice,TotalQuantity,MaxBeta
NAVG Equity,2016-1-1,56.3,19872,1.07
NBTB Equity,2016-1-1,40.08,13890,0.86
NCI Equity,2016-1-1,26.02,59038,1.86
NCR Equity,2016-1-1,46.300000000000004,31400,1.88
NCS Equity,2016-1-1,15.949999999999998,17397,1.21
NEU Equity,2016-1-1,436.45,1947,1.18
NEWM Equity,2016-1-1,16.526666666666667,37569,1.72
NFG Equity,2016-1-1,59.41,51228,0.97
NHTC Equity,2016-01-01,-1.0,0,-1.0
NI Equity,2016-1-1,22.41,8225,1.89
NJR Equity,2016-1-1,37.65,62839,1.11
NLS Equity,2016-1-1,17.55666666666667,39023,1.49
NOC Equity,2016-1-1,236.25,33141,1.0
NP Equity,2016-1-1,82.0,29192,2.0
NPO Equity,2016-01-1,69.95,7100,1.15
NSIT Equity,2016-1-1,45.18,10633,0.89
NSP Equity,2016-1-1,73.4,45696,1.42
NSR Equity,2016-1-1,34.61666666666667,26708,1.69
NTAP Equity,2016-1-1,39.45,4194,1.92
NTGR Equity,2016-1-1,57.43,200681,1.38
NTRI Equity,2016-1-1,37.465,34607,1.57
NTRS Equity,2016-1-1,85.37,4048,1.09
NUS Equity,2016-1-1,53.330000000000005,40309,1.3
NVDA Equity,2016-1-1,113.62,68406,1.72
NVR Equity,2016-1-1,2011.2699999999998,85625,1.16
NWLI Equity,2016-01-01,306.98,7463,0.86
NWN Equity,2016-1-1,58.6,70420,1.82
NYT Equity,2016-1-1,15.76,135365,1.7
OA Equity,2016-01-01,-1.0,0,-1.0
OB Equity,2016-01-01,16.18,479,0.85
OC Equity,2016-1-1,58.14333333333334,5202,0.69
OCIP Equity,2016-1-1,9.45,916,1.79
ODFL Equity,2016-1-1,92.3,5043,1.18
ODP Equity,2016-1-1,4.57,156034,1.24
OGS Equity,2016-1-1,64.25,10256,1.51
OIS Equity,2016-1-1,39.75,3440,1.35
OLN Equity,2016-1-1,29.81,913,1.64
OME Equity,2016-1-1,27.103333333333335,9565,1.37
OMF Equity,2016-1-1,24.16,104101,1.31
OMI Equity,2016-1-1,36.550000000000004,16657,1.58
ON Equity,2016-1-1,14.14,3579,1.97
ORA Equity,2016-1-1,54.98,1624,1.62
ORBK Equity,2016-1-1,32.72,13977,1.94
ORCL Equity,2016-1-1,40.79,2203,1.69
ORI Equity,2016-01-1,20.77,63942,0.78
OSIS Equity,2016-01-01,-1.0,0,-1.0
OSK Equity,2016-1-1,67.69,5665,1.44
OTTR Equity,2016-1-1,38.65,216,0.85
OXM Equity,2016-1-1,58.166666666666664,1311,1.33
OXY Equity,2016-1-1,68.47,6882,0.93
PATK Equity,2016-01-1,83.75,20790,1.58
PAY Equity,2016-1-1,19.44,8771,1.16
PB Equity,2016-1-1,73.15,43476,0.91
PBI Equity,2016-1-1,14.026666666666666,17531,1.31
PCAR Equity,2016-1-1,68.73,6308,1.37
PDLI Equity,2016-01-1,2.4,15500,1.26
PEG Equity,2016-1-1,43.39,16097,0.77
PENN Equity,2016-1-1,13.97,64455,1.73
PFGC Equity,2016-1-1,24.335,21374,1.11
PGR Equity,2016-1-1,37.66,59321,1.49
PII Equity,2016-01-1,105.65,9794,1.25
PIR Equity,2016-1-1,7.516666666666667,95417,1.36
PKG Equity,2016-01-01,94.09,133,1.06
PLAB Equity,2016-1-1,11.65,20652,1.67
PLAY Equity,2016-1-1,57.24,16505,1.08
PLCE Equity,2016-1-1,107.08666666666666,25094,1.71
PLKI Equity,2016-1-1,67.14,83948,1.91
PLNT Equity,2016-1-1,22.063333333333333,58425,1.38
PLT Equity,2016-01-01,53.63,664,1.19
PLUS Equity,2016-1-1,126.88666666666666,14848,1.93
PLXS Equity,2016-01-01,56.26,968,0.57
PM Equity,2016-1-1,102.63,36560,1.46
PMC Equity,2016-1-1,26.679999999999996,5947,1.39
PNK Equity,2016-1-1,16.763333333333335,66882,1.36
PNM Equity,2016-1-1,35.0,1701,1.97
PNRA Equity,2016-1-1,233.21,36713,1.19
PNW Equity,2016-1-1,78.67,5603,0.74
POL Equity,2016-1-1,34.59,1185,1.72
POOL Equity,2016-1-1,109.86,66855,0.92
